seq,place_name
0,"Nanjangud, Mysore, Karnataka, India"
1,"Gokak, Karnataka, India"
2,"Ratnagiri, Maharashtra, India"
3,"Mumbai, Maharashtra, India"
4,"Goregaon, Mumbai, Maharashtra, India"
5,"Pindwara, Rajasthan, India"
6,"Chittorgarh, Rajasthan, India"
7,"Delhi, India"
8,"Lucknow, Uttar Pradesh, India"
9,"Raipur, Chhattisgarh, India"
