seq,place_name
0,"Nanjangud, Mysore, Karnataka, India"
1,"Mettur, Tamil Nadu, India"
2,"Chalakudy, Kerala, India"
3,"Thiruvalla, Kerala, India"
4,"Kollam, Kerala, India"
5,"Tirumangalam, Tamil Nadu, India"
6,"Karaikal, Puducherry, India"
7,"Anakaputhur, Sriperumbudur, Tamil Nadu, India"
8,"Gudur, Andhra Pradesh, India"
9,"Kavali, Andhra Pradesh, India"
10,"Markapur, Andhra Pradesh, India"
11,"Chirala, Andhra Pradesh, India"
12,"Bhimavaram, Andhra Pradesh, India"
13,"Port Blair, Andaman and Nicobar Islands, India"
14,"Paltan Bazaar, Guwahati, Assam, India"
15,"Alipurduar, West Bengal, India"
16,"Jalpaiguri, West Bengal, India"
17,"Manikchak, West Bengal, India"
18,"Pakur, Jharkhand, India"
19,"Suti, West Bengal, India"
20,"Lalgola, West Bengal, India"
21,"Suri, West Bengal, India"
22,"RL Infotechh & Solutions, Durgapur, India"
23,"Barjora, West Bengal, India"
24,"Haringhata, West Bengal, India"
25,"Basirhat, West Bengal, India"
26,"Konnagar, Mirpur, West Bengal, India"
27,"Medinipur, West Bengal, India"
28,"Jadugora, Jharkhand, India"
29,"Jorapokhar, Jharkhand, India"
30,"Bhubaneswar, Odisha, India"
31,"Chatrapur, Odisha, India"
32,"Vizianagaram, Andhra Pradesh, India"
33,"Suryapet, Telangana, India"
34,"Siddipet, Telangana, India"
35,"Ausa, Maharashtra, India"
36,"Saint Dnyaneshwar Garden and Paithan park, Paithen, Maharashtra, India"
37,"Bhusawal, Maharashtra, India"
38,"Jalgaon Jamod, Maharashtra, India"
39,"Yavatmal, Maharashtra, India"
40,"Durg, Chhattisgarh, India"
41,"Raipur, Chhattisgarh, India"
42,"Dhanpuri, Madhya Pradesh, India"
43,"Surajpur, Chhattisgarh, India"
44,"Ranchi, Jharkhand, India"
45,"Bokaro Steel City, Jharkhand, India"
46,"Domchanch, Jharkhand, India"
47,"Munger, Bihar, India"
48,"Barh, Bihar, India"
49,"Harnaut, Bihar, India"
50,"Lucknow, Uttar Pradesh, India"
51,"Gola Gokarannath, Uttar Pradesh, India"
52,"Shikohabad, Uttar Pradesh, India"
53,"Orai, Uttar Pradesh, India"
54,"Hoshangabad, Madhya Pradesh, India"
55,"Mahidpur, Madhya Pradesh, India"
56,"Banswara, Rajasthan, India"
57,"Chittorgarh, Rajasthan, India"
58,"Sardarshahar, Rajasthan, India"
59,"Gohana, Haryana, India"
60,"Delhi, India"
61,"Palwal, Haryana, India"
62,"Hodal, Haryana, India"
63,"Sambhal, Uttar Pradesh, India"
64,"Roorkee, Uttarakhand, India"
65,"Jagadhri, Haryana, India"
66,"Malerkotla, Punjab, India"
67,"Gurdaspur, Punjab, India"
68,"Batumi, Adjara, Georgia"
69,"Pali, Rajasthan, India"
70,"Sirohi, Rajasthan, India"
71,"Pindwara, Rajasthan, India"
72,"Himmatnagar, Gujarat, India"
73,"Patan, Gujarat, India"
74,"Surendranagar, Gujarat, India"
75,"Gondal, Gujarat, India"
76,"Jetpur, Gujarat, India"
77,"Mahuva, Gujarat, India"
78,"Sinnar, Maharashtra, India"
79,"Ambernath, Maharashtra, India"
80,"Goregaon, Mumbai, Maharashtra, India"
81,"Mumbai, Maharashtra, India"
82,"Rasayani, Maharashtra, India"
83,"Ratnagiri, Maharashtra, India"
84,"Jaysingpur, Maharashtra, India"
85,"Gokak, Karnataka, India"
86,"Belgaum, Karnataka, India"
87,"Kushtagi, Karnataka, India"
88,"Guntakal, Andhra Pradesh, India"
89,"Nandyal, Andhra Pradesh, India"
90,"Proddatur, Andhra Pradesh, India"
91,"Dharmavaram, Andhra Pradesh, India"
92,"Harihar, Karnataka, India"
93,"Ranebennur, Karnataka, India"
94,"Sagar, Karnataka, India"
95,"Udupi, Karnataka, India"
96,"Huliyar, Karnataka, India"
97,"Chikkaballapura, Karnataka, India"
98,"Ramanagara, Karnataka, India"
99,"Channapatna, Karnataka, India"
