seq,place_name
0,"Nanjangud, Mysore, Karnataka, India"
1,"Mettur, Tamil Nadu, India"
2,"Thiruvalla, Kerala, India"
3,"Kollam, Kerala, India"
4,"Karaikal, Puducherry, India"
5,"Port Blair, Andaman and Nicobar Islands, India"
6,"Vizianagaram, Andhra Pradesh, India"
7,"Chatrapur, Odisha, India"
8,"Bhubaneswar, Odisha, India"
9,"Jorapokhar, Jharkhand, India"
10,"Jadugora, Jharkhand, India"
11,"Medinipur, West Bengal, India"
12,"Haringhata, West Bengal, India"
13,"Suri, West Bengal, India"
14,"Pakur, Jharkhand, India"
15,"Suti, West Bengal, India"
16,"Manikchak, West Bengal, India"
17,"Alipurduar, West Bengal, India"
18,"Jalpaiguri, West Bengal, India"
19,"Barh, Bihar, India"
20,"Harnaut, Bihar, India"
21,"Surajpur, Chhattisgarh, India"
22,"Raipur, Chhattisgarh, India"
23,"Durg, Chhattisgarh, India"
24,"Orai, Uttar Pradesh, India"
25,"Lucknow, Uttar Pradesh, India"
26,"Sambhal, Uttar Pradesh, India"
27,"Delhi, India"
28,"Roorkee, Uttarakhand, India"
29,"Jagadhri, Haryana, India"
30,"Malerkotla, Punjab, India"
31,"Sardarshahar, Rajasthan, India"
32,"Batumi, Adjara, Georgia"
33,"Sirohi, Rajasthan, India"
34,"Pindwara, Rajasthan, India"
35,"Chittorgarh, Rajasthan, India"
36,"Banswara, Rajasthan, India"
37,"Himmatnagar, Gujarat, India"
38,"Patan, Gujarat, India"
39,"Surendranagar, Gujarat, India"
40,"Mahuva, Gujarat, India"
41,"Bhusawal, Maharashtra, India"
42,"Ambernath, Maharashtra, India"
43,"Goregaon, Mumbai, Maharashtra, India"
44,"Mumbai, Maharashtra, India"
45,"Rasayani, Maharashtra, India"
46,"Ratnagiri, Maharashtra, India"
47,"Jaysingpur, Maharashtra, India"
48,"Gokak, Karnataka, India"
49,"Belgaum, Karnataka, India"
50,"Kushtagi, Karnataka, India"
51,"Harihar, Karnataka, India"
52,"Ranebennur, Karnataka, India"
53,"Sagar, Karnataka, India"
54,"Huliyar, Karnataka, India"
55,"Dharmavaram, Andhra Pradesh, India"
56,"Kavali, Andhra Pradesh, India"
57,"Chikkaballapura, Karnataka, India"
58,"Ramanagara, Karnataka, India"
59,"Channapatna, Karnataka, India"
