seq,place_name
0,"Nanjangud, Mysore, Karnataka, India"
1,"Channapatna, Karnataka, India"
2,"Ramanagara, Karnataka, India"
3,"Chikkaballapura, Karnataka, India"
4,"Raipur, Chhattisgarh, India"
5,"Pakur, Jharkhand, India"
6,"Jalpaiguri, West Bengal, India"
7,"Lucknow, Uttar Pradesh, India"
8,"Delhi, India"
9,"Sardarshahar, Rajasthan, India"
10,"Chittorgarh, Rajasthan, India"
11,"Pindwara, Rajasthan, India"
12,"Sirohi, Rajasthan, India"
13,"Surendranagar, Gujarat, India"
14,"Goregaon, Mumbai, Maharashtra, India"
15,"Mumbai, Maharashtra, India"
16,"Ratnagiri, Maharashtra, India"
17,"Jaysingpur, Maharashtra, India"
18,"Gokak, Karnataka, India"
19,"Sagar, Karnataka, India"
