seq,place_name
0,"Nanjangud, Mysore, Karnataka, India"
1,"Channapatna, Karnataka, India"
2,"Ramanagara, Karnataka, India"
3,"Chikkaballapura, Karnataka, India"
4,"Huliyar, Karnataka, India"
5,"Sagar, Karnataka, India"
6,"Ranebennur, Karnataka, India"
7,"Harihar, Karnataka, India"
8,"Kushtagi, Karnataka, India"
9,"Dharmavaram, Andhra Pradesh, India"
10,"Markapur, Andhra Pradesh, India"
11,"Kavali, Andhra Pradesh, India"
12,"Chirala, Andhra Pradesh, India"
13,"Bhimavaram, Andhra Pradesh, India"
14,"Siddipet, Telangana, India"
15,"Jalgaon Jamod, Maharashtra, India"
16,"Bhusawal, Maharashtra, India"
17,"Banswara, Rajasthan, India"
18,"Chittorgarh, Rajasthan, India"
19,"Pindwara, Rajasthan, India"
20,"Sirohi, Rajasthan, India"
21,"Himmatnagar, Gujarat, India"
22,"Patan, Gujarat, India"
23,"Surendranagar, Gujarat, India"
24,"Ambernath, Maharashtra, India"
25,"Rasayani, Maharashtra, India"
26,"Jaysingpur, Maharashtra, India"
27,"Gokak, Karnataka, India"
28,"Belgaum, Karnataka, India"
29,"Ratnagiri, Maharashtra, India"
30,"Mumbai, Maharashtra, India"
31,"Goregaon, Mumbai, Maharashtra, India"
32,"Mahuva, Gujarat, India"
33,"Gondal, Gujarat, India"
34,"Batumi, Adjara, Georgia"
35,"Sardarshahar, Rajasthan, India"
36,"Malerkotla, Punjab, India"
37,"Jagadhri, Haryana, India"
38,"Roorkee, Uttarakhand, India"
39,"Delhi, India"
40,"Hodal, Haryana, India"
41,"Sambhal, Uttar Pradesh, India"
42,"Lucknow, Uttar Pradesh, India"
43,"Orai, Uttar Pradesh, India"
44,"Dhanpuri, Madhya Pradesh, India"
45,"Durg, Chhattisgarh, India"
46,"Raipur, Chhattisgarh, India"
47,"Surajpur, Chhattisgarh, India"
48,"Harnaut, Bihar, India"
49,"Barh, Bihar, India"
50,"Jalpaiguri, West Bengal, India"
51,"Alipurduar, West Bengal, India"
52,"Paltan Bazaar, Guwahati, Assam, India"
53,"Manikchak, West Bengal, India"
54,"Suti, West Bengal, India"
55,"Pakur, Jharkhand, India"
56,"Suri, West Bengal, India"
57,"Haringhata, West Bengal, India"
58,"Medinipur, West Bengal, India"
59,"Jadugora, Jharkhand, India"
60,"Jorapokhar, Jharkhand, India"
61,"Bhubaneswar, Odisha, India"
62,"Chatrapur, Odisha, India"
63,"Vizianagaram, Andhra Pradesh, India"
64,"Port Blair, Andaman and Nicobar Islands, India"
65,"Karaikal, Puducherry, India"
66,"Kollam, Kerala, India"
67,"Thiruvalla, Kerala, India"
68,"Chalakudy, Kerala, India"
69,"Mettur, Tamil Nadu, India"
